      Age   Thickness   Depth
         509        1.76    1164.70
         510        1.60    1166.30
         511        1.32    1167.62
         512        1.76    1169.38
         513        1.32    1170.70
         514        1.32    1172.02
         515        5.08    1177.10
         516        1.84    1178.94
         517        1.72    1180.66
         518        2.40    1183.06
         519        2.40    1185.46
         520        2.68    1188.14
         521        2.48    1190.62
         522        1.32    1191.94
         523        1.72    1193.66
         524        2.00    1195.66
         525        1.40    1197.06
         526        2.88    1199.94
         527        3.32    1203.26
         528        4.60    1207.86
         529        2.00    1209.86
         530        2.20    1212.06
         531        2.04    1214.10
         532        1.40    1215.50
         533        1.60    1217.10
         534        1.88    1218.98
         535        2.40    1221.38
         536        1.80    1223.18
         537        1.52    1224.70
         538        2.00    1226.70
         539        1.60    1228.30
         540        1.28    1229.58
         541        0.92    1230.50
         542        1.20    1231.70
         543        1.76    1233.46
         544        3.00    1236.46
         545        2.20    1238.66
         546        1.16    1239.82
         547        1.32    1241.14
         548        2.68    1243.82
         549        1.36    1245.18
         550        1.88    1247.06
         551        3.20    1250.26
         552        2.20    1252.46
         553        2.52    1254.98
         554        2.12    1257.10
         555        1.84    1258.94
         556        0.92    1259.86
         557        1.80    1261.66
         558        2.24    1263.90
         559        1.56    1265.46
         560        1.48    1266.94
         561        1.60    1268.54
         562        2.40    1270.94
         563        4.20    1275.14
         564        1.60    1276.74
         565        2.28    1279.02
         566        1.44    1280.46
         567        1.20    1281.66
         568        2.00    1283.66
         569        2.92    1286.58
         570        3.32    1289.90
         571        3.68    1293.58
         572        2.80    1296.38
         573        1.08    1297.46
         574        2.40    1299.86
         575        1.84    1301.70
         576        2.44    1304.14
         577        3.40    1307.54
         578        1.36    1308.90
         579        1.28    1310.18
         580        1.84    1312.02
         581        2.24    1314.26
         582        1.80    1316.06
         583        2.64    1318.70
         584        1.56    1320.26
         585        2.80    1323.06
         586        2.08    1325.14
         587        1.68    1326.82
         588        1.72    1328.54
         589        0.88    1329.42
         590        0.84    1330.26
         591        0.68    1330.94
         592        0.88    1331.82
         593        1.44    1333.26
         594        1.32    1334.58
         595        2.24    1336.82
         596        2.00    1338.82
         597        1.88    1340.70
         598        1.80    1342.50
         599        1.32    1343.82
         600        1.20    1345.02
         601        1.32    1346.34
         602        2.12    1348.46
         603        4.40    1352.86
         604        2.40    1355.26
         605        2.12    1357.38
         606        2.16    1359.54
         607        2.40    1361.94
         608        2.80    1364.74
         609        2.16    1366.90
         610        4.40    1371.30
         611        4.80    1376.10
         612        2.40    1378.50
         613        3.76    1382.26
         614        3.44    1385.70
         615        2.80    1388.50
         616        2.52    1391.02
         617        3.00    1394.02
         618        2.40    1396.42
         619        3.32    1399.74
         620        2.24    1401.98
         621        3.04    1405.02
         622        2.64    1407.66
         623        1.72    1409.38
         624        2.00    1411.38
         625        2.40    1413.78
         626        2.12    1415.90
         627        2.32    1418.22
         628        2.68    1420.90
         629        2.40    1423.30
         630        2.00    1425.30
         631        2.24    1427.54
         632        1.44    1428.98
         633        1.68    1430.66
         634        2.60    1433.26
         635        1.72    1434.98
         636        2.00    1436.98
         637        2.36    1439.34
         638        2.60    1441.94
         639        2.72    1444.66
         640        2.20    1446.86
         641        1.40    1448.26
         642        2.28    1450.54
         643        2.88    1453.42
         644        4.12    1457.54
         645        2.40    1459.94
         646        1.88    1461.82
         647        2.60    1464.42
         648        1.32    1465.74
         649        1.68    1467.42
         650        1.72    1469.14
         651        2.16    1471.30
         652        1.88    1473.18
         653        1.88    1475.06
         654        1.20    1476.26
         655        1.40    1477.66
         656        3.08    1480.74
         657        1.84    1482.58
         658        4.76    1487.34
         659        2.04    1489.38
         660        2.00    1491.38
         661        2.44    1493.82
         662        2.28    1496.10
         663        2.24    1498.34
         664        2.36    1500.70
         665        3.04    1503.74
         666        2.20    1505.94
         667        2.52    1508.46
         668        2.00    1510.46
         669        1.44    1511.90
         670        1.20    1513.10
         671        3.20    1516.30
         672        2.56    1518.86
         673        1.76    1520.62
         674        1.60    1522.22
         675        1.60    1523.82
         676        1.52    1525.34
         677        1.84    1527.18
         678        1.72    1528.90
