Depth	Age	Sample number	TOC 	 d13C
710	8013	HZM 444	7,9	-32,37
711	8029	HZM 443	-9999	-31,41
712	8043	HZM 442	6,9	-31,85
713	8061	HZM 441	-9999	-31,01
714	8075	HZM 440	8,1	-31,34
715	8088	HZM 439	-9999	-31,34
716	8100	HZM 438	8,3	-32,15
717	8111	HZM 437	-9999	-31,97
718	8125	HZM 436	10,1	-32,16
719	8138	HZM 435	-9999	-32,34
720	8151	HZM 434	13,6	-32,85
721	8159	HZM 433	-9999	-32,69
722	8167	HZM 432	9,8	-31,48
723	8183	HZM 431	-9999	-32,89
724	8221	HZM 430	7,6	-31,56
725	8234	HZM 429	-9999	-32,2
726	8256	HZM 428	10,7	-33,02
727	8276	HZM 427	-9999	-31,57
728	8296	HZM 426	11,1	-32,67
729	8314	HZM 425	-9999	-32,2
730	8335	HZM 424	10	-32,78
731	8362	HZM 423	-9999	-32,93
732	8382	HZM 422	12,8	-32,71
733	8407	HZM 421	-9999	-31,66
734	8441	HZM 420	-9999	-32,06
735	8464	HZM 419	9,6	-32,18
736	8492	HZM 418	10	-32,17
737	8522	HZM 417	10,6	-32,1
738	8542	HZM 416	10,5	-31,92
739	8556	HZM 415	8,9	-31,84
740	8576	HZM 414	8,9	-31,14
741	8586	HZM 413	8,8	-30,97
742	8596	HZM 412	11,9	-31,74
743	8615	HZM 411	11,9	-31,88
744	8633	HZM 410	12,1	-31,87
745	8653	HZM 409	11,2	-31,45
746	8670	HZM 408	11	-31,6
747	8688	HZM 407	12,2	-32,22
748	8705	HZM 406	11,3	-32,63
749	8729	HZM 405	11,5	-33,02
750	8751	HZM 404	11,1	-32,24
751	8776	HZM 403	12	-32,89
752	8793	HZM 402	10,7	-32,01
753	8813	HZM 401	9,8	-31,86
754	8843	HZM 400	11,2	-32,51
755	8874	HZM 399	13,2	-32,9
756	8892	HZM 398	-9999	-32,99
757	8909	HZM 397	11,1	-33,1
758	8943	HZM 396	-9999	-32,88
759	8967	HZM 395	9,8	-32,76
760	8984	HZM 394	-9999	-32,75
761	9000	HZM 393	8,4	-33,34
762	9019	HZM 392	-9999	-33,3
763	9048	HZM 391	11,7	-33,38
764	9066	HZM 390	-9999	-32,91
765	9088	HZM 389	8,2	-33,16
766	9108	HZM 388	-9999	-32,74
767	9137	HZM 387	7,7	-32,69
768	9166	HZM 386	-9999	-31,77
769	9189	HZM 385	11,5	-32,46
770	9215	HZM 384	-9999	-33,04
771	9233	HZM 383	9,8	-32,65
772	9255	HZM 382	10,1	-32,13
773	9275	HZM 381	8,8	-32,72
774	9294	HZM 380	8,8	-32,52
775	9310	HZM 379	9,6	-32,8
776	9326	HZM 378	9,2	-33
777	9345	HZM 377	8,8	-33,11
778	9362	HZM 376	8,7	-32,76
779	9383	HZM 375	8,8	-33,14
780	9406	HZM 374	8,8	-32,9
781	9419	HZM 373	10,1	-33,47
782	9432	HZM 372	9,3	-33,66
783	9455	HZM 371	9,3	-33,57
784	9469	HZM 370	8,9	-33,37
785	9491	HZM 369	8,9	-32,93
786	9517	HZM 368	7,3	-33,43
787	9546	HZM 367	8,5	-34,29
788	9571	HZM 366	9,1	-34,11
789	9598	HZM 365	8,8	-34,06
790	9624	HZM 364	6,9	-35
791	9649	HZM 363	6,5	-33,36
792	9682	HZM 362	6,4	-33,05
793	9713	HZM 361	5,5	-32,7
794	9746	HZM 360	4,6	-32,71
795	9779	HZM 359	4,8	-32,89
796	9807	HZM 358	4,6	-32,48
797	9835	HZM 357	4,4	-31,61
798	9861	HZM 356	4,1	-31,4
799	9882	HZM 355	4	-30,07
800	9905	HZM 354	4,7	-31,04
801	9923	HZM 353	4	-30,18
802	9939	HZM 352	4	-31,46
803	9947	HZM 351	4,3	-30,32
804	9954	HZM 350	3,9	-30,58
805	9970	HZM 349	4,9	-31,17
806	9986	HZM 348	6,2	-30,39
807	10000	HZM 347	4,6	-32,6
808	10013	HZM 346	4,5	-31,7
809	10027	HZM 345	4,4	-32,21
810	10043	HZM 344	4	-32,68
811	10060	HZM 343	3,7	-31,52
812	10081	HZM 342	3,7	-31,02
813	10097	HZM 341	3,6	-31,19
814	10116	HZM 340	3,7	-30,79
815	10129	HZM 339	3,6	-31,07
816	10145	HZM 338	3,7	-30,47
817	10155	HZM 337	3,2	-31,03
818	10169	HZM 336	3,3	-28,67
819	10182	HZM 335	4,1	-30,34
820	10201	HZM 334	4,3	-30,34
821	10215	HZM 333	10,1	-27,72
822	10231	HZM 332	8,9	-27,11
823	10240	HZM 331	11,8	-27,1
824	10243	HZM 330	4,1	-28,83
825	10263	HZM 329	4,2	-30,27
826	10275	HZM 328	3,7	-29,95
827	10283	HZM 327	3,8	-29,86
828	10293	HZM 326	3,6	-30,83
829	10302	HZM 325	3,8	-29,76
830	10307	HZM 324	3,7	-29,18
831	10318	HZM 323	4,3	-31,23
832	10330	HZM 322	3,7	-30,65
833	10340	HZM 321	3,5	-30,2
834	10344	HZM 320	3,3	-28,77
835	10353	HZM 319	3,4	-28,37
836	10365	HZM 318	3,7	-29,15
837	10377	HZM 317	4,2	-30,05
838	10386	HZM 316	4,4	-29,82
839	10394	HZM 315	5,6	-31,03
840	10402	HZM 314	4,8	-32,29
841	10412	HZM 313	4,9	-31,52
842	10421	HZM 312	4,1	-31,26
843	10433	HZM 311	5,5	-33,23
844	10443	HZM 310	6,4	-34,03
845	10453	HZM 309	6,4	-33,87
846	10478	HZM 308	6,5	-31,39
847	10497	HZM 307	6,4	-33,72
848	10507	HZM 306	5,3	-32,77
849	10508	HZM 305	5,1	-33,17
850	10534	HZM 304	4,8	-32,61
851	10554	HZM 303	4,8	-32,36
852	10576	HZM 302	4,9	-32,01
853	10597	HZM 301	5,4	-31,81
854	10612	HZM 300	5,8	-32,25
855	10628	HZM 299	5,5	-32,86
856	10663	HZM 298	4,5	-32,1
857	10680	HZM 297	4,8	-31,73
858	10689	HZM 296	5,2	-30,9
859	10708	HZM 295	6,5	-29,2
860	10728	HZM 294	5	-32,31
861	10729	HZM 293	4,7	-32,44
862	10760	HZM 292	5	-32,7
863	10780	HZM 291	5	-32,65
864	10807	HZM 290	5,5	-33,36
865	10829	HZM 289	4,6	-33,09
866	10843	HZM 288	4,6	-33,32
867	10857	HZM 287	4,7	-32,74
868	10879	HZM 286	4,1	-32,43
869	10893	HZM 285	4,3	-32,61
870	10909	HZM 284	4,6	-32,86
871	10925	HZM 283	4,4	-32,54
872	10942	HZM 282	4,7	-32,79
873	10958	HZM 281	4,5	-31,87
874	10975	HZM 280	4,3	-31,61
875	10985	HZM 279	4	-31,09
876	10998	HZM 278	2	-29,16
877	11008	HZM 277	4,3	-31,6
878	11027	HZM 276	4,5	-31,96
879	11040	HZM 275	4,4	-32,21
880	11056	HZM 274	4,9	-31,73
881	11060	HZM 273	4,5	-31,15
882	11077	HZM 272	4,1	-32,14
883	11090	HZM 271	3,9	-31,09
884	11097	HZM 270	3,8	-29,99
885	11103	HZM 269	4,3	-30,85
886	11115	HZM 268	3,9	-31,46
887	11126	HZM 267	4,3	-30,31
888	11140	HZM 266	4	-30,29
889	11150	HZM 265	4,1	-31,19
890	11160	HZM 264	3,7	-30
891	11170	HZM 263	3,5	-30,73
892	11182	HZM 262	3,8	-30,54
893	11188	HZM 261	3,8	-30,51
894	11193	HZM 260	3,5	-30,74
895	11206	HZM 259	3,8	-30,44
896	11220	HZM 258	3,6	-30,23
897	11232	HZM 257	4,1	-29,67
898	11240	HZM 256	4	-29,92
899	11248	HZM 255	4,3	-30,1
900	11259	HZM 254	3,9	-29,63
901	11267	HZM 253	3,8	-29,87
902	11275	HZM 252	3,6	-30,47
903	11287	HZM 251	3,9	-31,49
904	11299	HZM 250	3,6	-31,69
905	11312	HZM 249	3,4	-31,24
906	11322	HZM 248	3,8	-30,23
907	11332	HZM 247	3,7	-29,53
908	11339	HZM 246	3,7	-29,6
909	11345	HZM 245	3,6	-29,44
910	11348	HZM 244	3	-29,2
911	11357	HZM 243	3,2	-29,64
912	11365	HZM 242	3,4	-29,64
913	11366	HZM 241	4	-29,56
914	11384	HZM 240	3,4	-30,21
915	11400	HZM 239	4	-30,97
916	11416	HZM 238	3,7	-30,12
917	11432	HZM 237	3,5	-29,91
918	11453	HZM 236	3,5	-29,88
919	11463	HZM 235	3,8	-32,04
920	11481	HZM 234	4,5	-31,97
921	11492	HZM 233	4,6	-32,28
